subj,block,rts,accuracy,item_type,item_gram,phrase_type
1,1,487.5,1,dv,0,DP
1,1,279.4,1,pn,0,VP
1,1,230,1,pv,1,VP
1,1,301.3,1,pv,1,VP
1,1,292.4,1,pn,0,VP
1,1,244.9,1,dn,1,DP
1,1,274.6,1,dv,0,DP
1,2,3512.5,1,pn,0,VP
1,2,757,1,dv,0,DP
1,2,928.2,1,dn,1,DP
1,2,308.8,1,dv,0,DP
1,2,324,1,pv,1,VP
1,2,311.5,1,dn,1,DP
1,2,2015.3,1,pv,1,VP
1,2,1968.9,1,dv,0,DP
1,2,1524.4,1,dv,0,DP
1,2,384.1,1,dn,1,DP
1,2,417.9,1,pv,1,VP
1,2,324.3,1,pn,0,VP
1,2,647.8,1,pv,1,VP
1,2,431.3,1,pv,1,VP
1,2,1009.4,1,dv,0,DP
1,2,558.3,1,pn,0,VP
1,2,311.4,1,pn,0,VP
1,2,262.1,1,dv,0,DP
1,2,2292.4,1,pn,0,VP
1,2,336.6,1,dn,1,DP
1,2,256.1,1,dn,1,DP
1,2,217.7,1,dv,0,DP
1,2,70,1,pv,1,VP
1,2,1321.1,1,dv,0,DP
1,2,1474.2,1,pn,0,VP
1,2,358.9,1,pn,0,VP
1,2,1788.1,1,pv,1,VP
1,2,374.2,1,pv,1,VP
1,2,220,1,dv,0,DP
1,2,1454.8,1,dv,0,DP
1,2,399.9,1,dn,1,DP
1,2,296.6,1,pv,1,VP
1,2,436.2,1,dv,0,DP
1,2,942.9,1,pv,1,VP
1,2,275,1,dv,0,DP
1,2,298.4,1,pn,0,VP
1,2,884.2,1,pn,0,VP
1,2,260,1,pn,0,VP
1,2,529,1,pv,1,VP
1,2,1382,1,pn,0,VP
1,2,246.4,1,dv,0,DP
1,2,280,1,pn,0,VP
1,2,306.1,1,dn,1,DP
1,2,1489.9,1,pn,0,VP
1,2,951.7,1,pv,1,VP
1,2,126.4,1,dn,1,DP
1,2,310.9,1,pv,1,VP
1,2,445.9,1,dn,1,DP
1,2,323.8,1,dn,1,DP
1,2,1077.4,1,pv,1,VP
1,2,250.5,1,dv,0,DP
1,2,277.9,1,dn,1,DP
